time,price
2025-01-01 00:00,245
2025-01-01 01:00,250
2025-01-01 02:00,258
2025-01-01 03:00,260
2025-01-01 04:00,256
2025-01-01 05:00,249
2025-01-01 06:00,251
2025-01-01 07:00,260
2025-01-01 08:00,275
2025-01-01 09:00,290
2025-01-01 10:00,310
2025-01-01 11:00,320
2025-01-01 12:00,315
2025-01-01 13:00,305
2025-01-01 14:00,298
2025-01-01 15:00,290
2025-01-01 16:00,288
2025-01-01 17:00,292
2025-01-01 18:00,310
2025-01-01 19:00,330
2025-01-01 20:00,335
2025-01-01 21:00,320
2025-01-01 22:00,300
2025-01-01 23:00,280
2025-01-02 00:00,248
2025-01-02 01:00,252
2025-01-02 02:00,255
2025-01-02 03:00,257
2025-01-02 04:00,253
2025-01-02 05:00,248
2025-01-02 06:00,250
2025-01-02 07:00,262
2025-01-02 08:00,278
2025-01-02 09:00,292
2025-01-02 10:00,308
2025-01-02 11:00,318
2025-01-02 12:00,312
2025-01-02 13:00,303
2025-01-02 14:00,296
2025-01-02 15:00,288
2025-01-02 16:00,287
2025-01-02 17:00,295
2025-01-02 18:00,312
2025-01-02 19:00,328
2025-01-02 20:00,333
2025-01-02 21:00,318
2025-01-02 22:00,302
2025-01-02 23:00,282
